Activity,Type,Start,Finish,Details
Sleep,,"2023-09-15,  10:42 PM","2023-09-16,  9:47 AM",
Sleep,,"2023-09-14,  10:23 PM","2023-09-15,  8:51 AM",
Sleep,,"2023-09-13,  10:02 PM","2023-09-14,  10:01 AM",
Sleep,,"2023-09-12,  10:19 PM","2023-09-13,  10:00 AM",
Sleep,,"2023-09-11,  9:51 PM","2023-09-12,  10:15 AM",
Growth,Height,"2023-09-11,  7:29 PM","2023-09-11,  7:29 PM",101.6cm
Growth,Head,"2023-09-11,  7:29 PM","2023-09-11,  7:29 PM",50cm
Health,Temperature,"2023-09-11,  2:55 AM","2023-09-11,  2:55 AM",38.3°C
Health,Medication,"2023-09-11,  2:54 AM","2023-09-11,  2:54 AM",Tylenol 
Sleep,,"2023-09-10,  11:17 PM","2023-09-11,  9:14 AM",
Health,Medication,"2023-09-10,  6:07 PM","2023-09-10,  6:07 PM",Tylenol 
Health,Temperature,"2023-09-10,  6:07 PM","2023-09-10,  6:07 PM",38.7°C
Sleep,,"2023-09-10,  5:53 PM","2023-09-10,  6:02 PM",
Sleep,,"2023-09-10,  12:00 AM","2023-09-10,  8:43 AM",
Sleep,,"2023-09-08,  10:31 PM","2023-09-09,  9:57 AM",
Sleep,,"2023-09-07,  10:01 PM","2023-09-08,  7:49 AM",
Sleep,,"2023-09-06,  9:46 PM","2023-09-07,  7:56 AM",
Sleep,,"2023-09-06,  1:25 PM","2023-09-06,  2:04 PM",
Sleep,,"2023-09-05,  11:51 PM","2023-09-06,  7:40 AM",
Sleep,,"2023-09-05,  1:05 AM","2023-09-05,  11:20 AM",
Health,Medication,"2023-09-04,  10:50 PM","2023-09-04,  10:50 PM",Teva-Cephalexin 
Sleep,,"2023-09-04,  7:58 PM","2023-09-04,  8:26 PM",
Health,Medication,"2023-09-04,  12:00 PM","2023-09-04,  12:00 PM",Teva-Cephalexin 
Sleep,,"2023-09-04,  1:09 AM","2023-09-04,  11:20 AM",
Health,Medication,"2023-09-03,  10:15 PM","2023-09-03,  10:15 PM",Teva-Cephalexin 
Health,Medication,"2023-09-03,  3:15 PM","2023-09-03,  3:15 PM",Teva-Cephalexin 
Sleep,,"2023-09-03,  1:22 AM","2023-09-03,  11:55 AM",
Health,Medication,"2023-09-02,  10:16 PM","2023-09-02,  10:16 PM",Teva-Cephalexin 
Sleep,,"2023-09-02,  6:51 PM","2023-09-02,  7:19 PM",
Health,Medication,"2023-09-02,  4:08 PM","2023-09-02,  4:08 PM",Teva-Cephalexin 
Sleep,,"2023-09-02,  12:16 AM","2023-09-02,  10:59 AM",
Health,Medication,"2023-09-01,  11:09 PM","2023-09-01,  11:09 PM",Teva-Cephalexin 
Growth,Weight,"2023-09-01,  3:29 PM","2023-09-01,  3:29 PM",15kg
Health,Medication,"2023-09-01,  1:09 PM","2023-09-01,  1:09 PM",Teva-Cephalexin 
Sleep,,"2023-08-31,  11:51 PM","2023-09-01,  10:38 AM",
Health,Medication,"2023-08-31,  9:00 PM","2023-08-31,  9:00 PM",Teva-Cephalexin 
Health,Medication,"2023-08-31,  1:59 PM","2023-08-31,  1:59 PM",Teva-Cephalexin 
Sleep,,"2023-08-31,  12:11 AM","2023-08-31,  10:39 AM",
Health,Medication,"2023-08-30,  9:51 PM","2023-08-30,  9:51 PM",Teva-Cephalexin 
Sleep,,"2023-08-30,  7:00 PM","2023-08-30,  7:23 PM",
Health,Medication,"2023-08-30,  12:49 PM","2023-08-30,  12:49 PM",Teva-Cephalexin
Sleep,,"2023-08-30,  12:10 AM","2023-08-30,  10:24 AM",
Health,Medication,"2023-08-29,  7:00 PM","2023-08-29,  7:00 PM",Teva-Cephalexin 
Sleep,,"2023-08-28,  11:16 PM","2023-08-29,  9:53 AM",
Sleep,,"2023-08-27,  11:43 PM","2023-08-28,  10:00 AM",
Sleep,,"2023-08-26,  11:08 PM","2023-08-27,  9:37 AM",
Sleep,,"2023-08-25,  11:20 PM","2023-08-26,  9:08 AM",
Sleep,,"2023-08-24,  10:57 PM","2023-08-25,  9:26 AM",
Sleep,,"2023-08-24,  12:04 AM","2023-08-24,  10:00 AM",
Sleep,,"2023-08-23,  12:09 AM","2023-08-23,  10:33 AM",
Sleep,,"2023-08-21,  11:29 PM","2023-08-22,  11:12 AM",
Sleep,,"2023-08-21,  12:36 AM","2023-08-21,  10:45 AM",
Sleep,,"2023-08-20,  4:31 PM","2023-08-20,  4:44 PM",
Sleep,,"2023-08-20,  1:24 AM","2023-08-20,  10:41 AM",
Sleep,,"2023-08-19,  7:22 PM","2023-08-19,  8:24 PM",
Sleep,,"2023-08-19,  12:50 AM","2023-08-19,  9:46 AM",
Sleep,,"2023-08-18,  3:15 PM","2023-08-18,  5:18 PM",
Sleep,,"2023-08-18,  12:13 AM","2023-08-18,  8:20 AM",
Sleep,,"2023-08-17,  12:57 AM","2023-08-17,  11:30 AM",
Sleep,,"2023-08-16,  1:02 AM","2023-08-16,  11:20 AM",
Sleep,,"2023-08-15,  8:45 AM","2023-08-15,  12:15 PM",
Sleep,,"2023-08-15,  12:19 AM","2023-08-15,  7:52 AM",
Sleep,,"2023-08-14,  12:35 AM","2023-08-14,  10:30 AM",
Sleep,,"2023-08-13,  1:50 AM","2023-08-13,  11:24 AM",
Sleep,,"2023-08-12,  6:20 PM","2023-08-12,  6:39 PM",
Sleep,,"2023-08-12,  12:46 AM","2023-08-12,  10:40 AM",
Sleep,,"2023-08-11,  2:41 PM","2023-08-11,  3:07 PM",
Sleep,,"2023-08-11,  12:33 AM","2023-08-11,  10:20 AM",
Sleep,,"2023-08-10,  9:25 PM","2023-08-10,  9:39 PM",
Sleep,,"2023-08-10,  2:00 PM","2023-08-10,  2:13 PM",
Sleep,,"2023-08-09,  11:41 PM","2023-08-10,  10:17 AM",
Sleep,,"2023-08-09,  5:37 PM","2023-08-09,  6:02 PM",
Sleep,,"2023-08-09,  1:29 AM","2023-08-09,  10:06 AM",
Sleep,,"2023-08-08,  4:29 PM","2023-08-08,  4:53 PM",
Sleep,,"2023-08-07,  11:59 PM","2023-08-08,  10:30 AM",
Sleep,,"2023-08-06,  11:36 PM","2023-08-07,  11:38 AM",
Sleep,,"2023-08-06,  2:38 AM","2023-08-06,  11:00 AM",
Sleep,,"2023-08-05,  9:01 PM","2023-08-05,  9:42 PM",
Sleep,,"2023-08-05,  12:46 AM","2023-08-05,  10:30 AM",
Sleep,,"2023-08-04,  12:16 AM","2023-08-04,  10:11 AM",
Sleep,,"2023-08-03,  5:10 PM","2023-08-03,  5:49 PM",
Sleep,,"2023-08-02,  10:50 PM","2023-08-03,  10:57 AM",
Sleep,,"2023-08-01,  11:56 PM","2023-08-02,  8:49 AM",
Sleep,,"2023-08-01,  5:25 PM","2023-08-01,  6:20 PM",
Sleep,,"2023-08-01,  9:05 AM","2023-08-01,  10:30 AM",
Sleep,,"2023-07-31,  10:28 PM","2023-08-01,  7:53 AM",
Sleep,,"2023-07-31,  12:31 AM","2023-07-31,  9:54 AM",
Sleep,,"2023-07-30,  5:20 PM","2023-07-30,  5:49 PM",
Sleep,,"2023-07-30,  12:03 AM","2023-07-30,  10:22 AM",
Sleep,,"2023-07-29,  12:26 AM","2023-07-29,  9:36 AM",
Sleep,,"2023-07-28,  4:30 PM","2023-07-28,  6:31 PM",
Sleep,,"2023-07-27,  11:34 PM","2023-07-28,  8:21 AM",
Sleep,,"2023-07-27,  1:14 AM","2023-07-27,  10:14 AM",
Sleep,,"2023-07-26,  8:41 PM","2023-07-26,  9:17 PM",
Sleep,,"2023-07-26,  12:11 AM","2023-07-26,  10:10 AM",
Sleep,,"2023-07-24,  11:53 PM","2023-07-25,  10:30 AM",
Sleep,,"2023-07-24,  12:03 AM","2023-07-24,  10:15 AM",
Sleep,,"2023-07-23,  4:35 PM","2023-07-23,  5:13 PM",
Sleep,,"2023-07-23,  12:08 AM","2023-07-23,  9:25 AM",
Sleep,,"2023-07-21,  9:50 PM","2023-07-22,  10:03 AM",
Sleep,,"2023-07-20,  10:36 PM","2023-07-21,  8:23 AM",
Sleep,,"2023-07-20,  12:25 AM","2023-07-20,  10:26 AM",
Sleep,,"2023-07-19,  12:35 AM","2023-07-19,  10:10 AM",
Sleep,,"2023-07-18,  9:30 AM","2023-07-18,  11:51 AM",
Sleep,,"2023-07-18,  12:10 AM","2023-07-18,  8:34 AM",
